"","INTERCEPT_ID","LOCATION_ID","LOCATION_NM","INTERCEPT_DT","TIME_ID","FINAL_DETERM_ID","INTERCEPT_NUM","PORT_REFERENCE_NUMBER","PATHWAY","MODE_OF_TRANSPORT","FORWARD_TO","PRIORITY","OVERTIME_FL","UDF1","ORIGIN_UNSURE_FL","ORIGIN","ORIGIN_ID","DESTINATION_STATE","DESTINATION_CITY","DESTINATION_ZIP","IMPORTED_AS","MATERIAL_FOR","WHERE_INTERCEPT","AIRLINE","MARITIME_NM","CARRIER_NUM","SHIPMENT_ID_NUM","SHIPMENT_TYPE","NATIONAL_AGR_RELEASE_PROG","HOST_PROXIMITY","INSP_HOST","INSP_GENUS","INSP_AGRICULT_FL","INVALID_INSP_HOST","BIO_HOST","BIO_GENUS","BIO_AGRICULT_FL","INVALID_BIO_HOST","HOST_PART","HOST_QUANTITY","UNIT","DISEASE_STAGE","ALIVE_IMMATURE","ALIVE_PUPAE","ALIVE_ADULT","ALIVE_EGG","ALIVE_CYST","DEAD_IMMATURE","DEAD_PUPAE","DEAD_ADULT","DEAD_EGG","DEAD_CYST","NIS_REVIEW_FL","PEST","INVALID_PEST","INCONCL_REASON","PEST_TYPE","REPORTABLE_FL","PEST_ORDER","SUB_ORDER","SUPER_FAMILY","FAMILY","SUB_FAMILY","TRIBE","GENUS","SUB_GENUS","SPECIES","SUB_SPECIES","AUTHOR","PEST_REMARKS","DETERMINED_BY","DETERMINED_DT","DETERM_REMARKS","QUARANTINE_STATUS","SEL_LOT","APPROVED_FL","REMARKS","F309_ID","CREATE_USER","CREATE_DT","MODIFY_USER","MODIFY_DT","REFRESH_DT"
"11",464850,118,"NY JFK PIS PPQ","1988-08-20 00:00:00",3155,NA,"JFKNY980997908450","7908450","Airport",NA,"None","Routine","N","JFK","N","Soviet Union",274,"New York",NA,NA,"Fruit","Consumption","Baggage",NA,NA,NA,"PA 91",NA,"N","In","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",2,"Pound",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","2 pounds PINET *JFK120-AUG-88114 *PINET 309* ",464850,"PIN309","1998-04-09 07:16:39","PESTID","2006-08-02 14:39:37","2021-04-19 01:00:06"
"12",1791947,241,"CA San Francisco CBP","2010-03-30 00:00:00",11047,2387268,"APSCA100896341003","029650","Airport","Aircraft","None","Routine","N",NA,"N","China",45,"California",NA,NA,"Fruit","Non-Entry","Quarters","United Airlines, United States",NA,"858",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",1,"Each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","No pathogen found *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"No",NA,"pathogen found",NA,NA,NA,"Fengru Zhang","2010-04-20 00:00:00",NA,NA,NA,"Y",NA,1782141,"JLNEELY","2010-03-30 15:46:19","FZHANG","2010-04-23 12:19:41","2021-04-19 01:00:06"
"13",1794683,157,"FL Miami Air CBP","2010-04-03 00:00:00",11051,2372885,"APMFL100936787002","435933","Airport","Aircraft","None","Routine","N","jjj","N","Honduras",96,NA,NA,NA,NA,"Consumption","Baggage","TACA International Airlines, El Salvador",NA,"374",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"N","No identifiable insecta found *Non-Rep*",NA,NA,"Insect","N",NA,NA,NA,NA,NA,NA,"No",NA,"identifiable insecta found",NA,NA,NA,"Ramón A. Dones","2010-04-09 00:00:00",NA,NA,NA,"Y","insect
officer Dzaidik",1784856,"JMVITULLO","2010-04-03 20:11:54","WTANG","2010-04-09 15:50:57","2021-04-19 01:00:06"
"14",1798171,157,"FL Miami Air CBP","2010-04-08 00:00:00",11056,NA,"APMFL100996777001","436009","Airport","Aircraft","None","Routine","N","jjj","N","Panama",167,NA,NA,NA,NA,"Consumption","Baggage","LAN Argentina Airlines, S. A.",NA,"490",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","concourse j. Possible scales",1788258,"VELOPEZ","2010-04-09 04:07:29","VELOPEZ","2010-04-09 04:07:35","2021-04-19 01:00:06"
"15",1632790,106,"TX Houston Air CBP","2009-07-15 00:00:00",10789,2111679,"APHTX091963964009",NA,"Airport","Aircraft","None","Routine","N",NA,"N","Nicaragua",156,"Texas","Houston",NA,"Fruit","Consumption","Baggage","Continental Airlines, Houston, TX, USA",NA,"1775",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",5,"Kilogram",NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,"N","No identifiable insecta found *Non-Rep*",NA,NA,"Insect","N",NA,NA,NA,NA,NA,NA,"No",NA,"identifiable insecta found",NA,NA,NA,"Mark J Segall","2009-07-16 00:00:00","Diaspididae scale covers","No Action",NA,"Y",NA,1624369,"DPOGBEIDE","2009-07-15 15:34:41","JCOUSINS","2009-07-24 12:36:48","2021-04-19 01:00:06"
"16",1630863,116,"NY JFK CBP","2009-07-12 00:00:00",10786,2169150,"APNNY091936445001","187465","Airport","Aircraft","None","Routine","Y","9000682","N","Turkey",218,"New York","New York ",NA,"Fruit","Consumption","Baggage","Turkish Airlines, Istanbul, Turkey",NA,"01",NA,NA,"N","In","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",1,"Kilogram",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","No identifiable insecta found *Non-Rep*",NA,NA,"Insect","N",NA,NA,NA,NA,NA,NA,"No",NA,"identifiable insecta found",NA,NA,NA,"Harry F Rasmussen","2009-08-12 00:00:00","Specimen dried out, ID no possible.",NA,NA,"Y",NA,1622511,"TKSIKDER","2009-07-12 16:12:22","JAFOSTER","2009-10-06 08:44:19","2021-04-19 01:00:06"
"17",352585,502,"TN Memphis PPQ","1997-05-26 00:00:00",6356,NA,"MEMTN971670203540","0203540","Airport",NA,"None","Routine","N","MEM","N","Iran",103,"Tennessee",NA,NA,"Fruit","Consumption","Baggage",NA,NA,NA,"KL 625",NA,"N","On","Prunus domestica","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",0.5,"Kilogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",".5 KG ",352585,"PIN309","1997-06-16 10:55:14","PESTID","2006-08-02 14:39:37","2021-04-19 01:00:06"
"18",458859,456,"IL Chicago PPQ","1993-09-07 00:00:00",4999,NA,"DESIL980997876840","7876840","Airport",NA,"None","Routine","N","DES","N","Israel",106,NA,NA,NA,"Fruit","Consumption","Baggage",NA,NA,NA,"KLM",NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",75,"Each",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","75 fruits PINET *DES307-SEP-93309 *PINET 309* ",458859,"PIN309","1998-04-09 07:16:39","PESTID","2006-08-02 14:39:37","2021-04-19 01:00:06"
"19",1831923,69,"TX El Paso CBP","2010-05-28 00:00:00",11106,2493660,"APETX101485678002",NA,"Land Border","POV","None","Routine","N",NA,"N","Mexico",140,"California",NA,NA,"Fruit","Consumption","Baggage",NA,NA,NA,NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",48,"Each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Mechanical injury *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"Mechanical",NA,"injury",NA,NA,NA,"Harald E Grieb","2010-08-03 00:00:00",NA,NA,NA,"Y",NA,1821517,"GDIAZ","2010-05-28 06:42:35","HEGRIEB","2010-08-05 14:06:32","2021-04-19 01:00:06"
"20",460078,435,"MA Boston PPQ","1992-08-04 00:00:00",4600,NA,"BOSMA980997861920","7861920","Airport",NA,"None","Routine","N","BOS","N","Unknown",246,"Massachusetts",NA,NA,"Fruit","Consumption","Miscellaneous",NA,NA,NA,"SN  533",NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",3,"Each",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","3 fruit PINET *BOS204-AUG-92203 *PINET 309* ",460078,"PIN309","1998-04-09 07:16:39","PESTID","2006-08-02 14:39:37","2021-04-19 01:00:06"
"21",1572518,157,"FL Miami Air CBP","2009-03-28 00:00:00",10680,2020389,"APMFL090872829003","385780","Airport","Aircraft","PPQ","Routine","N",NA,"N","Netherlands",153,NA,NA,NA,NA,"Non-Entry","Stores",NA,NA,NA,NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",4,"Each","Vegetative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Injury sp. *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"Injury",NA,NA,NA,NA,NA,"Hernan Ruiz","2009-03-31 00:00:00",NA,"No Action",NA,"Y","Disease",1564719,"DLALBORN","2009-03-28 22:00:58","HRUIZ","2009-03-31 06:43:58","2021-04-19 01:00:06"
"22",1658601,141,"CA Los Angeles CBP","2009-08-26 00:00:00",10831,2152853,"APLCA092406475001",NA,"Airport","Aircraft","None","Routine","N",NA,"N","Mexico",140,"California","Artesia",NA,"Fruit","Consumption","Baggage","Mexicana, Mexico, Mexico",NA,"906",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",20,"Each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Abiotic sp. *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"Abiotic",NA,NA,NA,NA,NA,"Musa A Abdelshife","2009-08-31 00:00:00",NA,"No Action",NA,"Y","Disease",1649879,"GTANG","2009-08-28 13:55:48","MAABDELSHIFE","2009-08-31 16:41:21","2021-04-19 01:00:06"
"23",1948473,797,"NJ Newark CBP","2010-12-09 00:00:00",11301,2618000,"APNNJ103435433006","222169","Airport","Aircraft","None","Routine","N","a 105","N","Cote D`Ivoire",54,"New Jersey",NA,NA,"Leaf","Consumption","Baggage","Continental Airlines, Houston, TX, USA",NA,"61",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Leaf",1,"Kilogram",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","No identifiable insecta found *Non-Rep*",NA,NA,"Insect","N",NA,NA,NA,NA,NA,NA,"No",NA,"identifiable insecta found",NA,NA,NA,"Robert A Tracy III","2010-12-14 00:00:00",NA,NA,NA,"Y","terminal c",1936389,"JPARONE","2010-12-09 11:22:06","SELATYN","2010-12-14 15:29:22","2021-04-19 01:00:06"
"24",356165,118,"NY JFK PIS PPQ","1997-02-12 00:00:00",6253,NA,"JFKNY972101222290","1222290","Airport",NA,"PPQ","Routine","N","JFK","N","Turkey",218,"New York",NA,NA,"Fruit","Consumption","Baggage",NA,NA,NA,"TK 581",NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",1,"Pound",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","1 LB. ",356165,"PIN309","1997-07-29 09:43:31","PIN309","2006-06-09 10:15:50","2021-04-19 01:00:06"
"25",1727495,157,"FL Miami Air CBP","2009-12-17 00:00:00",10944,2263261,"APMFL093516781002","407136","Airport","Aircraft","None","Routine","N","eee","N","Ecuador",63,NA,NA,NA,NA,"Consumption","Baggage","American (Eagle) Airline Subsidiaries, United States",NA,"952",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Abiotic sp. *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"Abiotic",NA,NA,NA,NA,NA,"Hernan Ruiz","2009-12-22 00:00:00",NA,"No Action",NA,"Y","fruit skin looks diseased",1718150,"CNANCE","2009-12-17 18:19:15","HRUIZ","2009-12-22 06:01:28","2021-04-19 01:00:06"
"26",1792887,241,"CA San Francisco CBP","2010-03-31 00:00:00",11048,NA,"APSCA100905954001","030003","Airport","Aircraft","None","Routine","N",NA,"N","China",45,"California","San Francisco",NA,"Fruit","Consumption","Baggage","Cathay Pacific Airways, Hong Kong",NA,"870",NA,NA,"N","With","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",6,"Each",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,1783078,"TGSHINER","2010-03-31 16:30:31","JLNEELY","2010-04-22 16:38:04","2021-04-19 01:00:06"
"27",1531555,392,"MI Detroit CBP","2008-07-24 00:00:00",10433,1961496,"APDMI083580489002","109373","Airport","Aircraft","None","Routine","N",NA,"N","Israel",106,"Michigan",NA,NA,"Fruit","Consumption","Baggage","North American Airlines",NA,"67",NA,NA,"N","On","Prunus domestica","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",25,"Each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","No identifiable pathogen found *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"No",NA,"identifiable pathogen found",NA,NA,NA,"Wally Sheta","2008-12-23 00:00:00","Possible insect damage!",NA,NA,"Y",NA,1524176,"MHSHETA","2008-12-23 10:46:08","MHSHETA","2008-12-23 10:50:14","2021-04-19 01:00:06"
"28",449771,435,"MA Boston PPQ","1995-03-20 00:00:00",5558,NA,"BOSMA980997865010","7865010","Airport",NA,"None","Routine","N","BOS","N","Germany",81,"Massachusetts",NA,NA,"Fruit","Consumption","Baggage",NA,NA,NA,"LH422",NA,"N","In","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",15,"Each",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","15 FRUIT PINET *BOS120-MAR-95100 *PINET 309* SEIZED RNM 8087 AESURVEY INTERCEPTION",449771,"PIN309","1998-04-09 07:16:39","PESTID","2006-08-02 14:39:37","2021-04-19 01:00:06"
"29",1889460,241,"CA San Francisco CBP","2010-08-30 00:00:00",11200,NA,"APSCA102426205001","033068","Airport","Aircraft","None","Routine","N",NA,"N","Romania",178,"California",NA,NA,"Fruit","Consumption","Baggage","Lufthansa Air , Germany",NA,"458",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",30,"Each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,1878242,"YWANG","2010-08-30 23:34:46","ADJARA","2010-10-13 17:11:53","2021-04-19 01:00:06"
"30",1727207,401,"NY New York SITC PPQ","2009-12-14 00:00:00",10941,2270215,"APENY093512297010","88887284","SITC","Aircraft","None","Prompt","N",NA,"N","Poland",173,"Kentucky","Bowling Green","42104","Plant","Propagation","Mail",NA,NA,NA,"CP118877184PL","Other","N","With","Prunus sp.","Prunus","Y",NA,"Unknown  ","Unknown","Y",NA,"Plant",5,"Plant Unit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Magnoliophyta, sp. *Non-Rep*",NA,NA,"Weed","N",NA,NA,NA,NA,NA,NA,"Magnoliophyta,",NA,NA,NA,NA,NA,"Rodney Young","2009-12-31 00:00:00",NA,NA,NA,"Y","Nematode wash APENY093512297009. Botany to confirm genus and species. Part of Sp. Op. Holiday Feast.",1717862,"MLSHORE","2009-12-17 12:58:08","KECLANCY","2010-01-13 06:53:16","2021-04-19 01:00:06"
"31",1763049,6,"GA Atlanta CBP","2010-02-13 00:00:00",11002,2318506,"APAGA100446188001","LG02132010A","Airport","Aircraft","None","Routine","N",NA,"N","Nigeria",158,"Maryland","Silver Springs",NA,"Fruit","Consumption","Baggage","Delta Airlines, Atlanta, GA, USA","DL","53",NA,NA,"N","On","Prunus sp.","Prunus","Y",NA,NA,NA,NA,NA,"Fruit",2,"Kilogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Abiotic sp. *Non-Rep*",NA,NA,"Disease","N",NA,NA,NA,NA,NA,NA,"Abiotic",NA,NA,NA,NA,NA,"Cesar M Calderon","2010-02-17 00:00:00",NA,NA,NA,"Y","Possible disease.",1753488,"LDGEDWARD","2010-02-13 13:40:53","CMCALDERON","2010-02-17 09:26:33","2021-04-19 01:00:06"
